Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	leaf-1	1	internal://	InInterests	0	0	0	0
0.5	leaf-1	1	internal://	OutInterests	0	0	0	0
0.5	leaf-1	1	internal://	InData	0	0	0	0
0.5	leaf-1	1	internal://	OutData	0	0	0	0
0.5	leaf-1	1	internal://	InNacks	0	0	0	0
0.5	leaf-1	1	internal://	OutNacks	0	0	0	0
0.5	leaf-1	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	leaf-1	1	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-1	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	leaf-1	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-1	256	netdev://[00:00:00:00:00:01]	InInterests	0	0	0	0
0.5	leaf-1	256	netdev://[00:00:00:00:00:01]	OutInterests	80	2.5	50	1.5625
0.5	leaf-1	256	netdev://[00:00:00:00:00:01]	InData	80	82.9688	50	51.8555
0.5	leaf-1	256	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
0.5	leaf-1	256	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
0.5	leaf-1	256	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
0.5	leaf-1	256	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
0.5	leaf-1	256	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
0.5	leaf-1	256	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	80	0	50	0
0.5	leaf-1	256	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
0.5	leaf-1	257	internal://	InInterests	0	0	0	0
0.5	leaf-1	257	internal://	OutInterests	0	0	0	0
0.5	leaf-1	257	internal://	InData	0	0	0	0
0.5	leaf-1	257	internal://	OutData	0	0	0	0
0.5	leaf-1	257	internal://	InNacks	0	0	0	0
0.5	leaf-1	257	internal://	OutNacks	0	0	0	0
0.5	leaf-1	257	internal://	InSatisfiedInterests	3.2	0	2	0
0.5	leaf-1	257	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-1	257	internal://	OutSatisfiedInterests	0	0	0	0
0.5	leaf-1	257	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-1	258	appFace://	InInterests	80	2.5	50	1.5625
0.5	leaf-1	258	appFace://	OutInterests	0	0	0	0
0.5	leaf-1	258	appFace://	InData	0	0	0	0
0.5	leaf-1	258	appFace://	OutData	80	82.9688	50	51.8555
0.5	leaf-1	258	appFace://	InNacks	0	0	0	0
0.5	leaf-1	258	appFace://	OutNacks	0	0	0	0
0.5	leaf-1	258	appFace://	InSatisfiedInterests	80	0	50	0
0.5	leaf-1	258	appFace://	InTimedOutInterests	0	0	0	0
0.5	leaf-1	258	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	leaf-1	258	appFace://	OutTimedOutInterests	0	0	0	0
0.5	leaf-1	-1	all	SatisfiedInterests	83.2	0	52	0
0.5	leaf-1	-1	all	TimedOutInterests	0	0	0	0
0.5	leaf-2	1	internal://	InInterests	0	0	0	0
0.5	leaf-2	1	internal://	OutInterests	0	0	0	0
0.5	leaf-2	1	internal://	InData	0	0	0	0
0.5	leaf-2	1	internal://	OutData	0	0	0	0
0.5	leaf-2	1	internal://	InNacks	0	0	0	0
0.5	leaf-2	1	internal://	OutNacks	0	0	0	0
0.5	leaf-2	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	leaf-2	1	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-2	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	leaf-2	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-2	256	netdev://[00:00:00:00:00:03]	InInterests	0	0	0	0
0.5	leaf-2	256	netdev://[00:00:00:00:00:03]	OutInterests	80	2.5	50	1.5625
0.5	leaf-2	256	netdev://[00:00:00:00:00:03]	InData	80	82.9688	50	51.8555
0.5	leaf-2	256	netdev://[00:00:00:00:00:03]	OutData	0	0	0	0
0.5	leaf-2	256	netdev://[00:00:00:00:00:03]	InNacks	0	0	0	0
0.5	leaf-2	256	netdev://[00:00:00:00:00:03]	OutNacks	0	0	0	0
0.5	leaf-2	256	netdev://[00:00:00:00:00:03]	InSatisfiedInterests	0	0	0	0
0.5	leaf-2	256	netdev://[00:00:00:00:00:03]	InTimedOutInterests	0	0	0	0
0.5	leaf-2	256	netdev://[00:00:00:00:00:03]	OutSatisfiedInterests	80	0	50	0
0.5	leaf-2	256	netdev://[00:00:00:00:00:03]	OutTimedOutInterests	0	0	0	0
0.5	leaf-2	257	internal://	InInterests	0	0	0	0
0.5	leaf-2	257	internal://	OutInterests	0	0	0	0
0.5	leaf-2	257	internal://	InData	0	0	0	0
0.5	leaf-2	257	internal://	OutData	0	0	0	0
0.5	leaf-2	257	internal://	InNacks	0	0	0	0
0.5	leaf-2	257	internal://	OutNacks	0	0	0	0
0.5	leaf-2	257	internal://	InSatisfiedInterests	3.2	0	2	0
0.5	leaf-2	257	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-2	257	internal://	OutSatisfiedInterests	0	0	0	0
0.5	leaf-2	257	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-2	258	appFace://	InInterests	80	2.5	50	1.5625
0.5	leaf-2	258	appFace://	OutInterests	0	0	0	0
0.5	leaf-2	258	appFace://	InData	0	0	0	0
0.5	leaf-2	258	appFace://	OutData	80	82.9688	50	51.8555
0.5	leaf-2	258	appFace://	InNacks	0	0	0	0
0.5	leaf-2	258	appFace://	OutNacks	0	0	0	0
0.5	leaf-2	258	appFace://	InSatisfiedInterests	80	0	50	0
0.5	leaf-2	258	appFace://	InTimedOutInterests	0	0	0	0
0.5	leaf-2	258	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	leaf-2	258	appFace://	OutTimedOutInterests	0	0	0	0
0.5	leaf-2	-1	all	SatisfiedInterests	83.2	0	52	0
0.5	leaf-2	-1	all	TimedOutInterests	0	0	0	0
0.5	leaf-3	1	internal://	InInterests	0	0	0	0
0.5	leaf-3	1	internal://	OutInterests	0	0	0	0
0.5	leaf-3	1	internal://	InData	0	0	0	0
0.5	leaf-3	1	internal://	OutData	0	0	0	0
0.5	leaf-3	1	internal://	InNacks	0	0	0	0
0.5	leaf-3	1	internal://	OutNacks	0	0	0	0
0.5	leaf-3	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	leaf-3	1	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-3	1	internal://	OutSatisfiedInterests	3.2	0	2	0
0.5	leaf-3	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-3	256	netdev://[00:00:00:00:00:05]	InInterests	0	0	0	0
0.5	leaf-3	256	netdev://[00:00:00:00:00:05]	OutInterests	80	2.5	50	1.5625
0.5	leaf-3	256	netdev://[00:00:00:00:00:05]	InData	80	82.9688	50	51.8555
0.5	leaf-3	256	netdev://[00:00:00:00:00:05]	OutData	0	0	0	0
0.5	leaf-3	256	netdev://[00:00:00:00:00:05]	InNacks	0	0	0	0
0.5	leaf-3	256	netdev://[00:00:00:00:00:05]	OutNacks	0	0	0	0
0.5	leaf-3	256	netdev://[00:00:00:00:00:05]	InSatisfiedInterests	0	0	0	0
0.5	leaf-3	256	netdev://[00:00:00:00:00:05]	InTimedOutInterests	0	0	0	0
0.5	leaf-3	256	netdev://[00:00:00:00:00:05]	OutSatisfiedInterests	80	0	50	0
0.5	leaf-3	256	netdev://[00:00:00:00:00:05]	OutTimedOutInterests	0	0	0	0
0.5	leaf-3	257	internal://	InInterests	0	0	0	0
0.5	leaf-3	257	internal://	OutInterests	0	0	0	0
0.5	leaf-3	257	internal://	InData	0	0	0	0
0.5	leaf-3	257	internal://	OutData	0	0	0	0
0.5	leaf-3	257	internal://	InNacks	0	0	0	0
0.5	leaf-3	257	internal://	OutNacks	0	0	0	0
0.5	leaf-3	257	internal://	InSatisfiedInterests	3.2	0	2	0
0.5	leaf-3	257	internal://	InTimedOutInterests	0	0	0	0
0.5	leaf-3	257	internal://	OutSatisfiedInterests	0	0	0	0
0.5	leaf-3	257	internal://	OutTimedOutInterests	0	0	0	0
0.5	leaf-3	258	appFace://	InInterests	80	2.5	50	1.5625
0.5	leaf-3	258	appFace://	OutInterests	0	0	0	0
0.5	leaf-3	258	appFace://	InData	0	0	0	0
0.5	leaf-3	258	appFace://	OutData	80	82.9688	50	51.8555
0.5	leaf-3	258	appFace://	InNacks	0	0	0	0
0.5	leaf-3	258	appFace://	OutNacks	0	0	0	0
0.5	leaf-3	258	appFace://	InSatisfiedInterests	80	0	50	0
0.5	leaf-3	258	appFace://	InTimedOutInterests	0	0	0	0
0.5	leaf-3	258	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	leaf-3	258	appFace://	OutTimedOutInterests	0	0	0	0
0.5	leaf-3	-1	all	SatisfiedInterests	83.2	0	52	0
0.5	leaf-3	-1	all	TimedOutInterests	0	0	0	0
0.5	leaf-4	1	internal://	InInterests	0	0	0	0
0.5	leaf-4	1	internal://	OutInterests	0	0	0	0
